feature_a,feature_b,abs_spearman_corr,cluster
ema_slope_6b,roc_3b,0.8537486971117197,trend
ema_dist_6b,return_3b,0.8537486971117197,trend
atr_12b,bollinger_bandwidth_20b,0.8535445140488473,volatility
ema_spread_6_24b,sma_slope_24b,0.8535321405985345,trend
bollinger_pct_b_48b,bollinger_pct_b_96b,0.8533807303932307,volatility
ema_dist_288b,return_288b,0.8530058762969587,trend
ema_dist_288b,roc_288b,0.8530058762969587,trend
ema_slope_24b,sma_slope_24b,0.8520635932448646,trend
ema_spread_24_96b,sma_dist_288b,0.8513703373759716,trend
bollinger_pct_b_48b,sma_dist_24b,0.8511333686559911,volatility
ema_spread_48_288b,rolling_vwap_z_288b,0.8509493693706944,trend
dema_dist_96b,ema_spread_6_24b,0.8507981536851845,trend
ema_spread_24_96b,rolling_vwap_z_288b,0.8505796498743823,trend
ema_slope_12b,return_12b,0.8504049795517603,trend
ema_slope_12b,roc_12b,0.8504049795517603,trend
rsi_48b,sma_dist_96b,0.8503457845865191,momentum
rsi_neutral_dist_48b,sma_dist_96b,0.8503457845865191,momentum
